SatMar112017,410,57,41,50,26,1,11
WedMar082017,409,42,23,59,46,33,4
SatMar042017,408,2,22,63,19,18,19
WedMar012017,407,16,10,52,40,55,17
SatFeb252017,406,6,62,32,47,65,19
WedFeb222017,405,52,10,61,28,13,2
SatFeb182017,404,9,3,33,7,31,20
WedFeb152017,403,33,5,42,38,28,19
SatFeb112017,402,37,64,17,9,5,2
WedFeb082017,401,49,20,42,14,66,5
SatFeb042017,400,52,17,16,13,6,25
WedFeb012017,399,9,60,64,43,57,10
SatJan282017,398,39,12,49,69,20,17
WedJan252017,397,18,62,66,68,28,22
SatJan212017,396,45,25,23,67,52,2
WedJan182017,395,41,9,58,40,53,12
SatJan142017,394,55,69,23,64,59,13
WedJan112017,393,1,16,13,43,3,24
SatJan072017,392,37,63,12,24,3,10
WedJan042017,391,17,16,42,41,29,4
SatDec312016,390,1,28,3,67,57,9
WedDec282016,389,30,23,44,58,16,4
SatDec242016,388,38,52,42,51,28,21
WedDec212016,387,25,68,40,54,33,3
SatDec172016,386,16,40,8,48,1,10
WedDec142016,385,39,18,66,37,26,15
SatDec102016,384,32,21,12,44,66,15
WedDec072016,383,49,64,48,41,53,20
SatDec032016,382,27,26,33,8,10,22
WedNov302016,381,3,45,25,14,18,7
SatNov262016,380,21,17,37,44,19,16
WedNov232016,379,7,61,41,47,32,3
SatNov192016,378,24,61,43,16,28,21
WedNov162016,377,28,61,63,41,65,7
SatNov122016,376,20,8,27,52,17,24
WedNov092016,375,28,31,54,25,1,2
SatNov052016,374,31,50,69,21,51,8
WedNov022016,373,18,54,61,13,37,5
SatOct292016,372,42,48,20,21,19,23
WedOct262016,371,48,56,2,16,3,24
SatOct222016,370,1,55,33,28,56,22
WedOct192016,369,43,63,16,38,10,23
SatOct152016,368,64,49,57,23,67,20
WedOct122016,367,34,44,30,16,37,16
SatOct082016,366,3,64,68,61,54,9
WedOct052016,365,60,29,18,27,8,15
SatOct012016,364,12,64,50,61,2,1
WedSep282016,363,30,53,62,38,52,1
SatSep242016,362,15,7,29,41,20,22
WedSep212016,361,63,67,1,69,28,17
SatSep172016,360,51,19,9,62,55,14
WedSep142016,359,10,31,23,28,11,14
SatSep102016,358,3,17,49,68,55,8
WedSep072016,357,23,55,33,22,29,21
SatSep032016,356,39,59,7,67,50,25
WedAug312016,355,10,56,24,61,5,12
SatAug272016,354,48,32,63,4,49,20
WedAug242016,353,25,11,9,65,64,16
SatAug202016,352,68,3,21,6,60,24
WedAug172016,351,44,49,33,50,52,8
SatAug132016,350,44,38,64,69,60,6
WedAug102016,349,64,56,61,23,67,12
SatAug062016,348,52,33,47,36,20,12
WedAug032016,347,66,27,11,9,67,2
SatJul302016,346,32,21,17,23,11,5
WedJul272016,345,10,47,68,65,50,24
SatJul232016,344,39,5,35,7,23,11
WedJul202016,343,6,58,66,25,35,5
SatJul162016,342,11,50,40,17,62,26
WedJul132016,341,57,15,29,3,54,10
SatJul092016,340,32,28,10,64,61,12
WedJul062016,339,66,57,2,31,24,18
SatJul022016,338,63,39,59,34,10,4
WedJun292016,337,29,37,23,64,60,6
SatJun252016,336,36,3,56,69,27,25
WedJun222016,335,14,42,43,52,40,17
SatJun182016,334,53,2,23,63,41,11
WedJun152016,333,33,4,24,31,22,10
